id,x,y,yaw
0,-42.3078,12.0051,2.43661
1,-41.2814,10.693,2.43108
2,-43.5619,13.2669,2.43847
3,-44.9905,14.2082,2.43577
4,-46.1193,15.3232,2.43909
5,-47.1166,16.1977,2.43361
6,-48.9653,17.5397,2.43377
7,-50.3274,18.6091,2.43327
8,-52.023,20.1587,2.43928
9,-53.2515,21.2717,2.44446
10,-54.5155,22.2649,2.44488
11,-56.1551,23.7692,2.44248
12,-57.5945,25.0167,2.44248
13,-59.0555,26.3529,2.44252
14,-60.4945,27.6084,2.45277
15,-61.8431,28.5965,2.44653
16,-63.2509,30.0932,2.46674
17,-65.2001,31.5231,2.45573
18,-66.6144,32.7402,2.45587
19,-68.7868,34.6061,2.45696
20,-69.3788,35.1354,2.45686
21,-71.4539,37.0489,2.46175
22,-73.3855,38.4241,2.46497
23,-74.6452,39.4738,2.46109
24,-75.8077,40.4279,2.45685
25,-77.1019,41.5286,2.45042
26,-78.359,42.4713,2.44817
27,-80.019,43.9993,2.44505
28,-81.7979,45.333,2.44664
29,-83.2139,46.514,2.44501
30,-84.5465,47.7241,2.44736
31,-86.2738,49.3524,2.4481
32,-87.8866,50.4612,2.43856
33,-89.3176,51.6003,2.43903
34,-91.1064,52.9305,2.43668
35,-92.2842,54.4646,2.43646
36,-94.0424,55.9321,2.43899
37,-95.3683,56.9943,2.43657
38,-96.4268,57.8103,2.42765
39,-98.0292,59.1567,2.42283
40,-99.2762,60.4053,2.41341
41,-100.789,62.0795,2.42285
42,-102.286,63.7479,2.42953
43,-104.091,65.3785,2.4332
44,-105.162,66.2408,2.42959
45,-106.575,67.1908,2.42847
46,-107.851,68.8482,2.43358
47,-109.462,70.0218,2.43197
48,-111.031,71.4189,2.43576
49,-112.24,72.442,2.4373
50,-113.663,73.5509,2.43175
51,-115.388,74.9326,2.42922
52,-116.82,75.693,2.43076
53,-118.04,77.0788,2.42872
54,-119.463,78.2346,2.42725
55,-120.843,79.474,2.42786
56,-121.916,80.4297,2.42166
57,-123.446,82.0323,2.42745
58,-124.861,83.0676,2.42797
59,-126.267,84.3824,2.42869
60,-127.511,85.6555,2.4283
61,-129.036,86.8467,2.42592
62,-130.388,88.0642,2.42702
63,-131.751,89.301,2.42448
64,-132.536,90.0957,2.43334
65,-134.667,92.0623,2.4245
66,-135.841,92.9373,2.42593
67,-137.112,94.4033,2.42591
68,-138.633,96.0347,2.4236
69,-139.944,97.1359,2.42482
70,-141.265,98.3116,2.42431
71,-142.804,99.7513,2.42429
72,-143.961,100.66,2.42689
73,-144.467,101.176,2.43004
74,-145.171,102.284,2.44515
