id,x,y,yaw
0,-531.668,283.125,2.45637
1,-533.503,284.167,2.45717
2,-533.393,284.2,2.4589
3,-533.642,284.197,2.45715
4,-533.62,284.227,2.4574
5,-533.739,284.402,2.46051
6,-533.866,284.568,2.45873
7,-534.22,284.752,2.45524
8,-534.58,285.029,2.46106
9,-534.852,285.251,2.45708
10,-534.996,285.497,2.45532
11,-535.33,285.924,2.45443
12,-535.806,286.35,2.45993
13,-536.453,286.847,2.45978
14,-536.618,287.09,2.46165
15,-537.579,287.852,2.46475
16,-537.56,287.913,2.47109
17,-538.026,288.057,2.46157
18,-538.436,288.408,2.46371
19,-538.969,288.772,2.46447
20,-539.493,289.148,2.45927
21,-540.203,289.38,2.46148
22,-540.821,289.976,2.46798
23,-541.571,290.643,2.47461
24,-542.21,291.157,2.47382
25,-542.806,291.703,2.46943
26,-543.444,292.356,2.46934
27,-544.296,293.085,2.48342
28,-545.091,293.785,2.4857
29,-546.228,294.472,2.50657
30,-547.202,294.958,2.51308
31,-548.047,295.561,2.53251
32,-548.9,296.253,2.56514
33,-549.61,297.095,2.61127
34,-550.37,297.926,2.66811
35,-551.456,298.661,2.73592
36,-552.591,298.678,2.8223
37,-554.44,299.24,2.9515
38,-556.084,298.706,3.01782
39,-558.004,298.819,3.11019
40,-559.624,298.616,-3.09357
41,-560.951,298.402,-3.02218
42,-562.357,298.106,-2.9652
43,-563.946,297.848,-2.91742
44,-565.456,297.443,-2.84791
45,-567.417,296.959,-2.77229
46,-569.201,296.451,-2.7307
47,-570.683,295.891,-2.69543
48,-572.068,295.13,-2.65814
49,-574.256,294.187,-2.62381
50,-576.046,293.377,-2.59379
51,-577.989,292.195,-2.56204
52,-579.41,291.18,-2.53989
53,-580.904,289.625,-2.51072
54,-582.3,288.617,-2.47449
55,-584.202,287.506,-2.45956
56,-585.862,286.087,-2.44067
57,-587.215,284.882,-2.41914
58,-588.685,284.027,-2.42884
59,-589.526,282.736,-2.44003
60,-592.413,280.305,-2.42601
61,-594.677,278.024,-2.4234
62,-596.74,277.019,-2.43535
63,-598.954,274.354,-2.46223
64,-601.201,272.262,-2.47986
65,-603.284,270.972,-2.47804
66,-605.536,269.116,-2.51213
67,-607.541,267.9,-2.53247
68,-609.592,266.269,-2.55243
69,-612.519,265.29,-2.56204
70,-614.822,263.993,-2.57026
71,-616.984,262.785,-2.59371
72,-620.182,261.247,-2.60659
73,-622.869,260.193,-2.62149
74,-625.914,258.872,-2.64923
75,-628.544,257.557,-2.67467
76,-631.21,256.348,-2.69191
77,-634.286,255.305,-2.72329
78,-636.947,254.244,-2.7361
79,-639.452,252.923,-2.7533
80,-642.034,251.78,-2.75275
81,-644.987,251.128,-2.77587
82,-648.412,249.461,-2.76654
83,-651.514,248.649,-2.79261
84,-653.968,247.813,-2.80178
85,-656.249,247.023,-2.79971
86,-660.469,246.33,-2.83343
87,-662.942,245.648,-2.84903
88,-665.59,244.987,-2.86149
89,-669.503,243.7,-2.866
90,-672.469,242.788,-2.86343
91,-673.733,243.013,-2.87884
92,-676.354,241.985,-2.87355
93,-679.575,241.191,-2.86828
94,-682.481,239.904,-2.87755
95,-685.391,239.386,-2.88366
96,-688.367,238.802,-2.87966
97,-691.247,237.688,-2.87949
98,-695.042,237.045,-2.8873
99,-698.227,236.676,-2.88659
100,-700.713,236.548,-2.86763
101,-703.682,235.677,-2.87653
102,-707.029,234.841,-2.88414
103,-709.658,233.474,-2.88461
104,-712.535,233.503,-2.88571
105,-715.756,232.86,-2.89064
106,-718.904,231.983,-2.89237
107,-721.508,230.583,-2.8782
108,-724.148,229.203,-2.86917
109,-726.87,228.204,-2.86882
110,-729.865,227.316,-2.86484
111,-732.705,226.524,-2.86781
112,-735.726,225.907,-2.86927
113,-738.702,225.02,-2.87337
114,-742.247,224.913,-2.89159
115,-744.978,224.025,-2.86887
116,-747.258,223.408,-2.88036
117,-750.329,222.469,-2.86501
118,-752.804,222.202,-2.8665
119,-753.863,222.277,-2.84938
120,-758.443,221.665,-2.84207
121,-761.468,221.585,-2.84308
122,-764.892,219.758,-2.85098
123,-767.409,218.526,-2.86672
124,-770.261,217.85,-2.86857
125,-772.852,217.355,-2.872
126,-775.281,216.293,-2.87513
127,-777.568,215.9,-2.87596
128,-779.812,215.265,-2.87317
129,-782.252,214.808,-2.87203
130,-784.872,214.226,-2.87825
131,-787.305,213.422,-2.87724
132,-789.733,212.601,-2.88068
133,-791.825,211.857,-2.88561
134,-793.644,211.408,-2.86868
135,-794.863,210.902,-2.86914
136,-795.866,209.78,-2.86081
137,-796.802,209.966,-2.87929
138,-798.332,210.139,-2.86421
139,-799.407,209.98,-2.8714
140,-800.428,209.578,-2.8738
141,-801.285,209.455,-2.87373
142,-802.216,209.566,-2.8725
143,-802.985,209.648,-2.87181
144,-803.733,209.588,-2.87116
145,-804.413,209.545,-2.86992
146,-804.696,209.189,-2.86947
147,-805.104,208.997,-2.86904
148,-805.046,208.979,-2.86844
149,-805.138,208.989,-2.86807
150,-805.121,208.893,-2.86761
151,-805.178,208.932,-2.86733
152,-805.231,208.961,-2.86698
153,-805.223,208.93,-2.86675
154,-805.229,208.962,-2.86651
155,-805.225,208.976,-2.86629
156,-805.098,208.934,-2.86597
157,-805.131,209.006,-2.86573
158,-805.188,209.071,-2.86541
159,-805.162,209.108,-2.86532
160,-805.228,209.001,-2.86511
161,-805.186,208.927,-2.86493
162,-805.155,208.971,-2.86478
163,-805.001,208.981,-2.86459
164,-805.061,208.985,-2.86431
165,-805.146,209.036,-2.86397
166,-805.141,209.189,-2.86389
167,-805.078,209.229,-2.86381
168,-805.025,209.253,-2.86381
169,-805.026,209.22,-2.86402
170,-805.265,209.112,-2.86308
171,-805.224,209.02,-2.86298
172,-805.221,208.984,-2.86289
173,-805.299,208.875,-2.86295
174,-805.585,208.691,-2.86322
175,-806.087,208.3,-2.86409
176,-807.099,208.033,-2.8695
177,-807.89,207.804,-2.86904
178,-808.513,207.94,-2.86782
179,-809.395,207.518,-2.85959
180,-810.675,207.057,-2.86334
181,-811.673,206.525,-2.86916
182,-812.752,205.649,-2.86654
183,-814.259,205.681,-2.86878
184,-815.412,205.411,-2.86254
185,-816.531,204.871,-2.8692
186,-817.937,204.489,-2.8721
187,-820.484,203.739,-2.86945
188,-821.766,203.469,-2.86713
189,-823.758,203.087,-2.87084
190,-825.487,202.668,-2.88273
191,-827.289,201.659,-2.89837
192,-828.923,201.334,-2.91472
193,-831.127,201.01,-2.91616
194,-832.889,200.57,-2.92952
195,-835.138,200.008,-2.93579
196,-837.692,199.178,-2.93219
197,-839.668,198.394,-2.94062
198,-842.033,197.771,-2.94608
199,-844.641,197.387,-2.94815
200,-845.993,196.79,-2.9652
201,-848.053,197.241,-2.99598
202,-849.6,197.458,-3.02564
203,-852.237,197.243,-3.03014
204,-854.456,197.029,-3.03932
205,-857.056,196.705,-3.05495
206,-859.295,196.521,-3.07642
207,-862.027,196.68,-3.09979
208,-864.377,196.659,-3.12526
209,-867.277,196.621,3.13253
210,-870.25,196.85,3.10732
211,-872.427,197.153,3.08511
212,-874.384,197.604,3.07423
213,-877.151,197.861,3.05391
214,-880.221,198.11,3.0345
215,-882.962,198.523,3.02648
216,-885.592,198.967,3.01375
217,-888.677,199.511,3.01098
218,-891.279,200.199,3.00434
219,-894.251,200.712,3.00058
220,-896.946,201.225,2.99864
221,-900.422,201.588,2.99946
222,-903.312,201.818,2.99096
223,-906.193,201.896,2.97861
224,-909.01,202.665,2.99156
225,-911.778,203.254,2.99405
226,-914.265,203.798,3.00837
227,-917.056,203.985,3.00089
228,-920.374,204.538,2.99761
