id,x,y,yaw
0,-41.2436,10.6791,2.43115
1,-42.3398,12.012,2.4366
2,-43.5662,13.2721,2.43847
3,-44.9907,14.2085,2.43577
4,-46.1193,15.3233,2.43909
5,-47.1173,16.1976,2.43362
6,-48.9653,17.5397,2.43377
7,-50.3275,18.6092,2.43326
8,-52.023,20.1587,2.43928
9,-53.2465,21.2745,2.44446
10,-54.5132,22.2614,2.44488
11,-56.1583,23.7717,2.44249
12,-57.5943,25.015,2.44245
13,-59.0555,26.3529,2.44252
14,-60.4945,27.6084,2.45276
15,-61.8431,28.5965,2.44653
16,-63.2509,30.0932,2.46674
17,-65.2001,31.5231,2.45573
18,-66.6149,32.7416,2.45588
19,-68.7868,34.6061,2.45696
20,-69.3788,35.1354,2.45686
21,-71.4539,37.0489,2.46175
22,-73.3855,38.4241,2.46497
23,-74.6456,39.474,2.46109
24,-75.8076,40.4279,2.45684
25,-77.1091,41.5259,2.45041
26,-78.3591,42.4713,2.44817
27,-80.019,43.9993,2.44505
28,-81.7979,45.333,2.44664
29,-83.2139,46.514,2.44501
30,-84.5465,47.7241,2.44736
31,-86.2743,49.3521,2.44813
32,-87.8865,50.4612,2.43856
33,-89.3161,51.599,2.439
34,-91.1064,52.9305,2.43668
35,-92.2836,54.4647,2.43647
36,-94.0442,55.9334,2.439
37,-95.3685,56.9944,2.43658
38,-96.4268,57.8103,2.42765
39,-98.0292,59.1567,2.42283
40,-99.2735,60.4029,2.41336
41,-100.789,62.0795,2.42285
42,-102.285,63.7478,2.42953
43,-104.091,65.3786,2.4332
44,-105.162,66.2408,2.42959
45,-106.575,67.1908,2.42847
46,-107.851,68.8482,2.43358
47,-109.461,70.0212,2.43196
48,-111.031,71.4189,2.43576
49,-112.24,72.4421,2.4373
50,-113.664,73.5518,2.43177
51,-115.388,74.9326,2.42922
52,-116.82,75.693,2.43076
53,-118.04,77.0787,2.42872
54,-119.467,78.2375,2.42729
55,-120.843,79.4741,2.42786
56,-121.916,80.43,2.42166
57,-123.445,82.0302,2.42745
58,-124.861,83.0676,2.42797
59,-126.263,84.3791,2.4287
60,-127.511,85.6547,2.4283
61,-129.036,86.8467,2.42592
62,-130.384,88.0633,2.42702
63,-131.751,89.301,2.42448
64,-132.536,90.0957,2.43334
65,-134.667,92.0627,2.4245
66,-135.841,92.9373,2.42593
67,-137.112,94.4033,2.42591
68,-138.633,96.0349,2.4236
69,-139.944,97.1358,2.42482
70,-141.265,98.3115,2.42431
71,-142.804,99.7513,2.42429
72,-143.962,100.66,2.42689
73,-144.605,101.302,2.43001
74,-145.172,102.285,2.44515
75,-148.313,104.714,2.42313
76,-149.678,105.827,2.42625
77,-149.982,106.216,2.42054
78,-152.338,108.399,2.42021
79,-152.907,108.739,2.42656
80,-154.803,110.378,2.44034
81,-155.872,111.656,2.44495
82,-157.415,113.002,2.44499
83,-159.197,114.42,2.44223
84,-160.275,115.824,2.44755
85,-162.024,116.782,2.443
86,-163.642,118.25,2.44204
87,-165.11,119.706,2.44295
88,-166.462,120.782,2.43365
89,-167.719,121.92,2.4379
90,-169.092,123.31,2.43342
91,-170.315,124.327,2.44379
92,-171.803,126.032,2.43262
