id,x,y,yaw
0,-42.3416,12.0147,2.43661
1,-41.3853,10.8228,2.43164
2,-43.2746,13.0071,2.43778
3,-44.7432,14.0627,2.43597
4,-45.9033,15.1738,2.43878
5,-46.9152,16.0694,2.43413
6,-48.6794,17.3661,2.43381
7,-50.0775,18.4553,2.43332
8,-51.7415,19.9579,2.43868
9,-53.0097,21.1063,2.44388
10,-54.2719,22.1127,2.44478
11,-55.8752,23.5687,2.44272
12,-57.3247,24.8316,2.4425
13,-58.7821,26.1584,2.44252
14,-60.2203,27.4185,2.45174
15,-61.5633,28.4195,2.44691
16,-62.9741,29.8774,2.46476
17,-64.8679,31.3073,2.45663
18,-66.3267,32.5449,2.45597
19,-68.4256,34.3448,2.45687
20,-69.1616,34.9955,2.45686
21,-71.1043,36.7842,2.46126
22,-73.033,38.1963,2.4646
23,-74.3555,39.2795,2.46144
24,-75.5291,40.2419,2.45727
25,-76.8177,41.3271,2.4511
26,-78.0693,42.2844,2.44846
27,-79.687,43.7547,2.44539
28,-81.4469,45.0989,2.44651
29,-82.8935,46.2935,2.44516
30,-84.2348,47.5001,2.44714
31,-85.9216,49.0843,2.448
32,-87.5387,50.2373,2.43951
33,-88.9841,51.3749,2.43906
34,-90.7377,52.685,2.43692
35,-91.9684,54.1947,2.43651
36,-93.6732,55.6636,2.43874
37,-95.0329,56.763,2.43679
38,-96.1188,57.6051,2.42856
39,-97.6687,58.9006,2.4234
40,-98.942,60.1513,2.41441
41,-100.429,61.7817,2.42201
42,-101.853,63.4063,2.42786
43,-103.687,65.0703,2.43266
44,-104.83,66.0085,2.4299
45,-106.215,66.9559,2.42862
46,-107.499,68.5419,2.43309
47,-109.076,69.7528,2.43208
48,-110.642,71.1296,2.4354
49,-111.991,72.0309,2.43289
50,-113.297,73.2714,2.43186
51,-114.978,74.637,2.42948
52,-116.432,75.4548,2.43063
53,-117.672,76.7835,2.42891
54,-119.077,77.9551,2.42743
55,-120.455,79.1845,2.42782
56,-121.556,80.1651,2.42227
57,-123.041,81.7028,2.42693
58,-124.461,82.786,2.42786
59,-125.866,84.0766,2.4286
60,-127.123,85.3484,2.42833
61,-128.619,86.5459,2.42617
62,-129.983,87.7593,2.42694
63,-131.344,88.9916,2.42473
64,-132.182,89.831,2.4325
65,-134.185,91.6817,2.4253
66,-135.437,92.6487,2.42587
67,-136.704,94.0643,2.4259
68,-138.197,95.6719,2.42383
69,-139.524,96.8177,2.42472
70,-140.843,97.9905,2.42435
71,-142.358,99.4022,2.4243
72,-143.547,100.357,2.42662
73,-144.234,101.013,2.42975
74,-144.821,101.978,2.44361
75,-147.71,104.262,2.42518
76,-149.219,105.486,2.42614
77,-149.644,105.958,2.42113
78,-151.805,107.968,2.42031
79,-152.526,108.469,2.42593
80,-154.321,110.061,2.43603
81,-155.442,111.302,2.44406
82,-156.942,112.635,2.44489
83,-158.694,114.042,2.4425
84,-159.834,115.443,2.44705
85,-161.522,116.443,2.44341
86,-163.143,117.864,2.44218
87,-164.624,119.313,2.44288
88,-165.986,120.423,2.43457
89,-167.227,121.555,2.43924
90,-168.608,122.919,2.434
91,-169.844,123.968,2.44281
92,-171.308,125.608,2.43365
93,-173.041,127.029,2.43777
94,-174.29,128.073,2.44088
95,-175.563,129.159,2.44755
96,-177.511,130.847,2.44927
97,-178.786,132.072,2.44474
98,-180.329,133.613,2.44398
99,-181.337,134.646,2.44005
100,-182.743,135.663,2.44158
101,-184.113,136.982,2.443
102,-185.872,138.439,2.44333
103,-187.642,139.968,2.44258
104,-188.832,140.957,2.44466
105,-189.667,141.717,2.44646
106,-191.245,143.26,2.43619
107,-192.866,144.618,2.4371
108,-194.101,145.599,2.44419
109,-195.615,146.846,2.43836
110,-196.909,147.856,2.43859
111,-198.436,149.343,2.43791
112,-199.381,150.269,2.43388
113,-200.788,151.065,2.43661
114,-202.123,152.062,2.4354
115,-203.124,153.349,2.43035
116,-204.143,154.356,2.42855
117,-205.33,155.149,2.42574
118,-206.248,155.975,2.42961
119,-207.274,156.787,2.42644
120,-208.077,157.769,2.42465
121,-208.557,158.438,2.42013
122,-209.44,159.235,2.42079
123,-210.21,159.91,2.41997
124,-210.925,160.653,2.42144
